"","n","mean","sd","median","trimmed","range","skew","kurtosis","se","IRT_difficulty","Chisq","df","p_value","outfitMSQ","infitMSQ","outfitZ","infitZ"
"ME_7a",38,0.315789473684211,0.471069120876076,0,0.28125,1,0.761514066355505,-1.45636231266425,0.076417502239336,0.773189888233482,33.2688472605082,37,0.64467196632831,0.87549598053969,0.867057551791199,-0.611824180100652,-0.906180824666116
"ME_7b",40,0.75,0.438529009653515,1,0.8125,1,-1.11167103947166,-0.781875,0.0693375245281536,-1.09861228866811,32.4401675283808,39,0.761874778444182,0.811004188209519,0.890163474847589,-0.75909478585496,-0.579443311425856
"MS_14b",40,0.225,0.42290206176626,0,0.15625,1,1.26802408519916,-0.400262096774194,0.0668666871181297,1.23676262714893,47.2359734163729,39,0.171490310392922,1.18089933540932,1.05634777905629,0.821087781756588,0.344928482770344
"MS_30b",40,0.8,0.405095746833467,1,0.875,1,-1.44410304125087,0.0895312500000003,0.0640512615220349,-1.38629436111989,38.3823601134083,39,0.497858088342825,0.959559002835208,0.987860978827145,-0.0683080729506114,0.0171664721888953
"MS_39",40,0.425,0.500640615253123,0,0.40625,1,0.292125719616368,-1.96184942455243,0.0791582316693952,0.302280871872934,42.1028470847072,39,0.338152297561404,1.05257117711768,1.04401210427199,0.502690456205919,0.510176337846697
"MS_43a",40,0.275,0.452202586776303,0,0.21875,1,0.970250973413919,-1.08384992163009,0.0714995069016527,0.969400557188103,36.8805624284405,39,0.566923798326461,0.922014060711013,0.945315937694423,-0.314616140077068,-0.286426965289531
"MS_43b",40,0.35,0.483045891539648,0,0.3125,1,0.605532528322916,-1.67330357142857,0.0763762615825973,0.619039208406224,49.9875758503072,39,0.111742865558395,1.24968939625768,1.21940107529698,1.51926777030215,1.7143851006591
"MS_50a",40,0.55,0.503831473655779,1,0.5625,1,-0.193517088745061,-2.01096590909091,0.0796627506815691,-0.200670695462151,42.8257530177336,39,0.310386133181602,1.07064382544334,1.04569846948695,0.71546716795007,0.552003346024052
"MS_64a",40,0.825,0.384807644254793,1,0.90625,1,-1.64692674239178,0.732540584415583,0.0608434308444476,-1.55059741241117,33.690846758463,39,0.710330691240665,0.842271168961576,0.842881932546103,-0.383720339982705,-0.554033378458778
"MX_1",36,0.333333333333333,0.478091443733757,0,0.3,1,0.677849558534552,-1.58217592592593,0.0796819072889596,0.693147180559945,34.3122280970062,35,0.501129093464603,0.953117447139061,1.00225409129876,-0.152086803620409,0.0600932768167656
"MX_10",40,0.35,0.483045891539648,0,0.3125,1,0.605532528322916,-1.67330357142857,0.0763762615825973,0.619039208406224,39.8529858255456,38,0.387648076476052,1.02187143142425,1.02116130731456,0.182802934875405,0.212892176719966
"MX_11a",39,0.717948717948718,0.455880752454893,1,0.757575757575758,1,-0.931648410861032,-1.15981454442993,0.072999343245876,-0.934309237376834,42.8465891469922,38,0.271026523151552,1.09863049094852,1.0583656030682,0.537265041395919,0.415312122503713
"MX_11c",39,0.41025641025641,0.49831023511298,0,0.393939393939394,1,0.350955954328456,-1.92421318926336,0.0797934979708204,0.362905493689368,33.3731796540819,38,0.683168491873754,0.855722555232869,0.881770906752146,-1.34036361313968,-1.35271348916605
"MX_11e",39,0.128205128205128,0.33868842842937,0,0.0606060606060606,1,2.13920311144922,2.64599141431721,0.0542335527595415,1.91692261218206,35.6173468976573,38,0.580146537540572,0.913265305068136,0.97914196049575,-0.0853463242243515,0.046554664424422
"MX_11f",38,0.342105263157895,0.480782908219932,0,0.3125,1,0.639538592407858,-1.63187513317707,0.0779932866268183,0.653926467406664,33.074978923046,37,0.653647228028208,0.870394182185421,0.919668453293042,-0.681234045890919,-0.619959770303566
"MX_16a",38,0.0789473684210526,0.273276312733094,0,0,1,3.0004232351407,7.19391241261047,0.0443312718129372,2.4567357728213,22.2435671789278,36,0.964821973680034,0.601177491322374,0.872045785996474,-0.43684531931604,-0.128624173727224
"MX_18",38,0.131578947368421,0.342569987450104,0,0.0625,1,2.09432101418459,2.45278687148493,0.0555721902009034,1.88706964903238,30.3276409968543,37,0.773091013906944,0.798095815706693,0.937016424516062,-0.336314069707354,-0.0886466921199568
"MX_19",40,0.375,0.49029033784546,0,0.34375,1,0.497154402575296,-1.795875,0.0775217091182553,0.510825623765991,44.3741227733254,39,0.255477927717202,1.10935306933313,1.09676153311314,0.714481168665501,0.912192568663985
"MX_22a",40,0.25,0.438529009653515,0,0.1875,1,1.11167103947166,-0.781875,0.0693375245281536,1.09861228866811,38.5799197278833,39,0.488868142833005,0.964497993197083,0.968538096891462,-0.0835773526250303,-0.11646697896737
"MX_24",35,0.228571428571429,0.426042961498036,0,0.172413793103448,1,1.23777878390779,-0.479168556311413,0.0720144043214405,1.21639532432449,37.3969662480676,34,0.315870090982135,1.06848474994479,0.973630915626146,0.344333903484909,-0.0568980284457372
"MX_36a",39,0.461538461538462,0.505035373756076,0,0.454545454545455,1,0.148406813126531,-2.0280204126358,0.0808703820058226,0.154150679827258,47.5311241413875,37,0.11504566293459,1.2508190563523,1.14946385590233,2.26368467455941,1.77979003527097
"MX_36b",40,0.8,0.405095746833467,1,0.875,1,-1.44410304125087,0.0895312500000003,0.0640512615220349,-1.38629436111989,48.2047685029497,39,0.14820747373654,1.20511921257374,1.13931456603833,0.791827808559756,0.664138016828793
"MX_41",37,0.432432432432432,0.502247202333923,0,0.419354838709677,1,0.261789082297604,-1.98288636126474,0.0825689314406458,0.271933715483642,36.1220304083657,36,0.462946663528071,0.976271092117993,0.973413161634922,-0.164320905173946,-0.227093255962295
"MX_42a",40,0.5,0.506369683541833,0.5,0.5,1,0,-2.049375,0.0800640769025436,0,35.9190415129308,38,0.566033677065781,0.921001064434122,0.949402509165204,-0.751877780803283,-0.611806809197467
"MX_46b",39,0.230769230769231,0.426832794918354,0,0.181818181818182,1,1.22918116553696,-0.49997808459347,0.0683479474337414,1.20397280432594,41.6319628939146,38,0.315608779778086,1.06748622804909,1.00404872672563,0.342576022522185,0.0860816985144664
"MX_47b",40,0.275,0.452202586776303,0,0.21875,1,0.970250973413919,-1.08384992163009,0.0714995069016527,0.969400557188103,30.7057360084469,39,0.82598915556273,0.767643400211173,0.846193098665668,-1.02986592903613,-0.973890009446963
"MX_49",40,0.15,0.36162028533979,0,0.0625,1,1.88733881275134,1.60400735294118,0.0571771874896866,1.73460105538811,50.4343706245667,39,0.103821523840387,1.26085926561417,1.09080086649201,0.7436964085885,0.402985283046196
"MX_52b",40,0.25,0.438529009653515,0,0.1875,1,1.11167103947166,-0.781875,0.0693375245281536,1.09861228866811,36.3621244640221,39,0.590831857419902,0.909053111600553,0.86601993810145,-0.262306390326957,-0.727168775547208
"MX_53",38,0.289473684210526,0.45960586739381,0,0.25,1,0.892008410366296,-1.23475521605716,0.0745579169686607,0.897941593205959,43.0835153617955,37,0.227119707513553,1.13377672004725,1.07969124646925,0.715815115316422,0.560989246981449
"PS_12",40,0.25,0.438529009653515,0,0.1875,1,1.11167103947166,-0.781875,0.0693375245281536,1.09861228866811,45.5814971374955,39,0.217237433330314,1.13953742843739,1.11065949969285,0.703571297264468,0.65504351976282
"PS_15bp",39,0.461538461538462,0.505035373756076,0,0.454545454545455,1,0.148406813126531,-2.0280204126358,0.0808703820058226,0.154150679827258,41.4676301436445,38,0.321942032475483,1.06327256778576,1.07321652031311,0.592848763795054,0.794727081647646
"PS_26p",40,0.625,0.49029033784546,1,0.65625,1,-0.497154402575296,-1.795875,0.0775217091182553,-0.51082562376599,36.0985853188358,39,0.602949076898793,0.902464632970896,0.914053111878711,-0.764715882047306,-0.783555330886591
"PS_2a",108,0.481481481481481,0.501986362429374,0,0.477272727272727,1,0.0730978055486101,-2.01303955817845,0.0483036602463533,0.074107972153722,105.125495995748,107,0.533167656354507,0.973384222182848,0.981506111978058,-0.441807191286606,-0.344698050139923
"PS_44",53,0.773584905660377,0.422515790963998,1,0.837209302325581,1,-1.27059358276702,-0.391925489208611,0.0580370073240412,-1.22866541691631,42.1063621052537,52,0.834732064609403,0.794459662363277,0.868238693569062,-0.883202433835424,-0.710434182911913
"PS_45b",111,0.0540540540540541,0.227149843929182,0,0,1,3.89107390308547,13.2601597736733,0.0215601090599315,2.86220088092947,80.3929418398525,110,0.984763297606605,0.724260737295968,0.91201815834975,-0.585167155129595,-0.144276130879133
"PS_46b",39,0.794871794871795,0.409073869245305,1,0.848484848484849,1,-1.40468996540272,-0.0255455875803272,0.0655042434521544,-1.35454566280531,46.8225777508449,38,0.154329717395797,1.20057891668833,1.00744045062789,0.762887042858511,0.108353309787234
"PS_4ap",40,0.625,0.49029033784546,1,0.65625,1,-0.497154402575296,-1.795875,0.0775217091182553,-0.51082562376599,39.6097392668566,39,0.442686446058267,0.990243481671415,0.954586546271032,-0.0274342142648516,-0.381741831379006
"PS_4bp",40,0.6,0.496138938356834,1,0.625,1,-0.393035065229554,-1.8909375,0.0784464540552736,-0.405465108108164,37.0573175951864,39,0.558763618162903,0.926432939879661,0.876906550208577,-0.507175803694225,-1.14084893588298
"PS_51a",40,0.55,0.503831473655779,1,0.5625,1,-0.193517088745061,-2.01096590909091,0.0796627506815691,-0.200670695462151,42.8754217116945,39,0.308526401750879,1.07188554279236,1.06783494532226,0.810357053962604,0.845961525667687
"PS_51b",39,0.58974358974359,0.49831023511298,1,0.606060606060606,1,-0.350955954328456,-1.92421318926336,0.0797934979708204,-0.362905493689368,43.5398844183281,38,0.247412228235383,1.11640729277764,1.10517119073811,1.07984266657716,1.1496364283497
"SE_10",40,0.55,0.503831473655779,1,0.5625,1,-0.193517088745061,-2.01096590909091,0.0796627506815691,-0.200670695462151,40.8102275591408,38,0.347956595318548,1.04641609126002,1.05170116864016,0.371441534689161,0.486636007334676
"SE_16b2",40,0.3,0.464095480892257,0,0.25,1,0.840344317187051,-1.32508928571429,0.0733799385705343,0.847297860387204,35.8727164886818,36,0.474614698022395,0.969532878072482,0.976856321555842,-0.0756667253354889,-0.0903787735876477
"SE_22a",40,0.65,0.483045891539648,1,0.6875,1,-0.605532528322916,-1.67330357142857,0.0763762615825973,-0.619039208406224,42.2172018490652,38,0.293629180152657,1.08249235510424,1.07108508406354,0.590837650636076,0.599406562771503
